Notes	ManualCheck	MergeInto	RenameEntitySet	KeyParamGroup	EntitySet	ParamGroup	Cluster_EchoTime	Cluster_EffectiveEchoSpacing	Cluster_RepetitionTime	Cluster_TotalReadoutTime	Cluster_VoxelSizeDim1	Cluster_VoxelSizeDim2	Cluster_VoxelSizeDim3	Counts	Dim1Size	Dim2Size	Dim3Size	EchoTime	EffectiveEchoSpacing	EntitySetCount	FlipAngle	HasFieldmap	ImageOrientation	Modality	MultibandAccelerationFactor	NSliceTimes	NumVolumes	Obliquity	ParallelReductionFactorInPlane	PartialFourier	PhaseEncodingDirection	RepetitionTime	TotalReadoutTime	UsedAsFieldmap	VoxelSizeDim1	VoxelSizeDim2	VoxelSizeDim3
VARIANTEffectiveEchoSpacingC2RepetitionTimeC3TotalReadoutTimeC3ObliquityTrue				datatype-fmap_direction-PA_fmap-epi_run-1_suffix-epi_acquisition-dwiVARIANTVar3__1	datatype-fmap_direction-PA_fmap-epi_run-1_suffix-epi_acquisition-dwiVARIANTVar3	1								1	104	104	72	0.1002	0.000498801	1	90	False	LAS+	fmap		0	1.0	True	2.0	1.0	j	3.44	0.0513765	True	1.798076868057251	1.798076868057251	1.8000038862228394
				datatype-fmap_direction-PA_fmap-epi_run-2_suffix-epi_acquisition-dwi__1	datatype-fmap_direction-PA_fmap-epi_run-2_suffix-epi_acquisition-dwi	1								1	104	104	72	0.1002	0.000389997	1	90	False	LAS+	fmap		0	1.0	False	2.0	1.0	j	3.32	0.0401697	True	1.798076868057251	1.798076868057251	1.7999992370605469
				datatype-fmap_direction-AP_fmap-epi_run-1_suffix-epi_acquisition-fMRI__1	datatype-fmap_direction-AP_fmap-epi_run-1_suffix-epi_acquisition-fMRI	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2606	84	84	60	0.0512	0.000550001	2606	90	False	LAS+	fmap		60	1.0	True		1.0	j-	5.301	0.04565	True	2.404761791229248	2.404761791229248	2.400000095367432
				datatype-fmap_direction-AP_fmap-epi_run-1_suffix-epi_acquisition-fMRIVARIANTPlumb__1	datatype-fmap_direction-AP_fmap-epi_run-1_suffix-epi_acquisition-fMRIVARIANTPlumb	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	566	84	84	60	0.0512	0.00049999	566	90	False	LAS+	fmap		60	1.0	False		1.0	j-	5.301	0.0414992	True	2.404761791229248	2.404761791229248	2.3999998569488525
VARIANTEchoTimeC1RepetitionTimeC0Dim1Size90Dim2Size90NSliceTimes0				datatype-fmap_direction-AP_fmap-epi_run-1_suffix-epi_acquisition-fMRIVARIANTVar1__1	datatype-fmap_direction-AP_fmap-epi_run-1_suffix-epi_acquisition-fMRIVARIANTVar1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	62	90	90	60	0.08	0.000510012	62	90	False	LAS+	fmap		0	1.0	True		1.0	j-	7.03	0.045391	True	2.400000095367432	2.400000095367432	2.4000027179718018
				datatype-fmap_direction-AP_fmap-epi_run-2_suffix-epi_acquisition-fMRI__1	datatype-fmap_direction-AP_fmap-epi_run-2_suffix-epi_acquisition-fMRI	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6	84	84	60	0.0512	0.00049999	6	90	False	LAS+	fmap		60	1.0	True		1.0	j-	5.301	0.0414992	True	2.404761791229248	2.404761791229248	2.3999998569488525
				datatype-fmap_direction-PA_fmap-epi_run-1_suffix-epi_acquisition-fMRI__1	datatype-fmap_direction-PA_fmap-epi_run-1_suffix-epi_acquisition-fMRI	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2606	84	84	60	0.0512	0.000550001	2606	90	False	LAS+	fmap		60	1.0	True		1.0	j	5.301	0.04565	True	2.404761791229248	2.404761791229248	2.400000095367432
				datatype-fmap_direction-PA_fmap-epi_run-1_suffix-epi_acquisition-fMRIVARIANTPlumb__1	datatype-fmap_direction-PA_fmap-epi_run-1_suffix-epi_acquisition-fMRIVARIANTPlumb	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	566	84	84	60	0.0512	0.00049999	566	90	False	LAS+	fmap		60	1.0	False		1.0	j	5.301	0.0414992	True	2.404761791229248	2.404761791229248	2.3999998569488525
VARIANTEchoTimeC1RepetitionTimeC0Dim1Size90Dim2Size90NSliceTimes0				datatype-fmap_direction-PA_fmap-epi_run-1_suffix-epi_acquisition-fMRIVARIANTVar1__1	datatype-fmap_direction-PA_fmap-epi_run-1_suffix-epi_acquisition-fMRIVARIANTVar1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	62	90	90	60	0.08	0.000510012	62	90	False	LAS+	fmap		0	1.0	True		1.0	j	7.03	0.045391	True	2.400000095367432	2.400000095367432	2.4000027179718018
				datatype-fmap_direction-PA_fmap-epi_run-2_suffix-epi_acquisition-fMRI__1	datatype-fmap_direction-PA_fmap-epi_run-2_suffix-epi_acquisition-fMRI	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6	84	84	60	0.0512	0.00049999	6	90	False	LAS+	fmap		60	1.0	True		1.0	j	5.301	0.0414992	True	2.404761791229248	2.404761791229248	2.3999998569488525
				datatype-func_run-1_suffix-bold_task-peer__1	datatype-func_run-1_suffix-bold_task-peer	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2592	84	84	60	0.03	0.000580013	2592	31	False	LAS+	func	6.0	60	135.0	True		1.0	j-	0.8	0.0481411	False	2.4285714626312256	2.4285712242126465	2.400000095367432
				datatype-func_run-1_suffix-bold_task-peer_acquisition-VARIANTEffectiveEchoSpacingC1PhaseEncodingDirectioniTotalReadoutTimeC1__1	datatype-func_run-1_suffix-bold_task-peer_acquisition-VARIANTEffectiveEchoSpacingC1PhaseEncodingDirectioniTotalReadoutTimeC1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3	84	84	60	0.0356	0.000710011	3	31	False	LAS+	func	6.0	60	135.0	True		1.0	i	0.8	0.0589309	False	2.4285714626312256	2.4285714626312256	2.400000095367432
				datatype-func_run-1_suffix-bold_task-peer_acquisition-VARIANTInferredSliceTiming__1	datatype-func_run-1_suffix-bold_task-peer_acquisition-VARIANTInferredSliceTiming	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	61	90	90	66	0.03	0.000500005	61	52	False	LAS+	func	6.0	60	135.0	True		1.0	j-	0.8	0.0445004	False	2.400000095367432	2.400000095367432	2.3999998569488525
				datatype-func_run-1_suffix-bold_task-peer_acquisition-VARIANTPlumb__1	datatype-func_run-1_suffix-bold_task-peer_acquisition-VARIANTPlumb	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	702	84	84	60	0.03	0.000589987	702	31	False	LAS+	func	6.0	60	135.0	False		1.0	j-	0.8	0.0489689	False	2.4285714626312256	2.4285714626312256	2.3999998569488525
				datatype-func_run-1_suffix-bold_task-rest__1	datatype-func_run-1_suffix-bold_task-rest	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2213	84	84	60	0.03	0.000580013	2213	31	False	LAS+	func	6.0	60	375.0	True		1.0	j-	0.8	0.0481411	False	2.4285714626312256	2.4285714626312256	2.400000095367432
				datatype-func_run-1_suffix-bold_task-rest_acquisition-VARIANTEffectiveEchoSpacingC1PhaseEncodingDirectioniTotalReadoutTimeC1NumVolumes750__1	datatype-func_run-1_suffix-bold_task-rest_acquisition-VARIANTEffectiveEchoSpacingC1PhaseEncodingDirectioniTotalReadoutTimeC1NumVolumes750	1								1	84	84	60	0.0356	0.000710011	1	31	False	LAS+	func	6.0	60	750.0	True		1.0	i	0.8	0.0589309	False	2.4285712242126465	2.4285714626312256	2.4000003337860107
				datatype-func_run-1_suffix-bold_task-rest_acquisition-VARIANTInferredSliceTiming__1	datatype-func_run-1_suffix-bold_task-rest_acquisition-VARIANTInferredSliceTiming	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54	90	90	66	0.03	0.000500005	54	52	False	LAS+	func	6.0	60	370.0	True		1.0	j-	0.8	0.0445004	False	2.400000095367432	2.400000095367432	2.400000095367432
				datatype-func_run-1_suffix-bold_task-rest_acquisition-VARIANTNumVolumes252__1	datatype-func_run-1_suffix-bold_task-rest_acquisition-VARIANTNumVolumes252	1								1	84	84	60	0.03	0.000580013	1	31	False	LAS+	func	6.0	60	252.0	True		1.0	j-	0.8	0.0481411	False	2.4285714626312256	2.4285714626312256	2.3999998569488525
				datatype-func_run-1_suffix-bold_task-rest_acquisition-VARIANTNumVolumes284Plumb__1	datatype-func_run-1_suffix-bold_task-rest_acquisition-VARIANTNumVolumes284Plumb	1								1	84	84	60	0.03	0.000589987	1	31	False	LAS+	func	6.0	60	284.0	False		1.0	j-	0.8	0.0489689	False	2.4285714626312256	2.4285714626312256	2.3999998569488525
				datatype-func_run-1_suffix-bold_task-rest_acquisition-VARIANTNumVolumes303__1	datatype-func_run-1_suffix-bold_task-rest_acquisition-VARIANTNumVolumes303	1								1	84	84	60	0.03	0.000589987	1	31	False	LAS+	func	6.0	60	303.0	True		1.0	j-	0.8	0.0489689	False	2.4285714626312256	2.4285714626312256	2.400000095367432
				datatype-func_run-1_suffix-bold_task-rest_acquisition-VARIANTNumVolumes374__1	datatype-func_run-1_suffix-bold_task-rest_acquisition-VARIANTNumVolumes374	1								1	84	84	60	0.03	0.000580013	1	31	False	LAS+	func	6.0	60	374.0	True		1.0	j-	0.8	0.0481411	False	2.4285714626312256	2.4285714626312256	2.400000095367432
				datatype-func_run-1_suffix-bold_task-rest_acquisition-VARIANTNumVolumes750__1	datatype-func_run-1_suffix-bold_task-rest_acquisition-VARIANTNumVolumes750	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	107	84	84	60	0.03	0.000580013	107	31	False	LAS+	func	6.0	60	750.0	True		1.0	j-	0.8	0.0481411	False	2.4285714626312256	2.4285714626312256	2.3999998569488525
				datatype-func_run-1_suffix-bold_task-rest_acquisition-VARIANTPlumb__1	datatype-func_run-1_suffix-bold_task-rest_acquisition-VARIANTPlumb	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	617	84	84	60	0.03	0.000589987	617	31	False	LAS+	func	6.0	60	375.0	False		1.0	j-	0.8	0.0489689	False	2.4285714626312256	2.4285714626312256	2.3999998569488525
				datatype-func_run-2_suffix-bold_task-peer__1	datatype-func_run-2_suffix-bold_task-peer	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2473	84	84	60	0.03	0.000580013	2473	31	False	LAS+	func	6.0	60	135.0	True		1.0	j-	0.8	0.0481411	False	2.4285714626312256	2.4285714626312256	2.400000095367432
				datatype-func_run-2_suffix-bold_task-peer_acquisition-VARIANTInferredSliceTiming__1	datatype-func_run-2_suffix-bold_task-peer_acquisition-VARIANTInferredSliceTiming	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	61	90	90	66	0.03	0.000500005	61	52	False	LAS+	func	6.0	60	135.0	True		1.0	j-	0.8	0.0445004	False	2.400000095367432	2.400000095367432	2.3999998569488525
				datatype-func_run-2_suffix-bold_task-peer_acquisition-VARIANTPlumb__1	datatype-func_run-2_suffix-bold_task-peer_acquisition-VARIANTPlumb	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	654	84	84	60	0.03	0.000589987	654	31	False	LAS+	func	6.0	60	135.0	False		1.0	j-	0.8	0.0489689	False	2.4285714626312256	2.4285714626312256	2.3999998569488525
				datatype-func_run-2_suffix-bold_task-rest__1	datatype-func_run-2_suffix-bold_task-rest	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2117	84	84	60	0.03	0.000580013	2117	31	False	LAS+	func	6.0	60	375.0	True		1.0	j-	0.8	0.0481411	False	2.4285714626312256	2.4285714626312256	2.400000095367432
				datatype-func_run-2_suffix-bold_task-rest_acquisition-VARIANTInferredSliceTiming__1	datatype-func_run-2_suffix-bold_task-rest_acquisition-VARIANTInferredSliceTiming	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54	90	90	66	0.03	0.000500005	54	52	False	LAS+	func	6.0	60	370.0	True		1.0	j-	0.8	0.0445004	False	2.400000095367432	2.400000095367432	2.400000095367432
				datatype-func_run-2_suffix-bold_task-rest_acquisition-VARIANTNumVolumes251Plumb__1	datatype-func_run-2_suffix-bold_task-rest_acquisition-VARIANTNumVolumes251Plumb	1								1	84	84	60	0.03	0.000589987	1	31	False	LAS+	func	6.0	60	251.0	False		1.0	j-	0.8	0.0489689	False	2.4285714626312256	2.4285714626312256	2.3999998569488525
				datatype-func_run-2_suffix-bold_task-rest_acquisition-VARIANTNumVolumes263__1	datatype-func_run-2_suffix-bold_task-rest_acquisition-VARIANTNumVolumes263	1								1	84	84	60	0.03	0.000580013	1	31	False	LAS+	func	6.0	60	263.0	True		1.0	j-	0.8	0.0481411	False	2.4285714626312256	2.4285714626312256	2.400000095367432
				datatype-func_run-2_suffix-bold_task-rest_acquisition-VARIANTNumVolumes280Plumb__1	datatype-func_run-2_suffix-bold_task-rest_acquisition-VARIANTNumVolumes280Plumb	1								1	84	84	60	0.03	0.000589987	1	31	False	LAS+	func	6.0	60	280.0	False		1.0	j-	0.8	0.0489689	False	2.4285714626312256	2.4285714626312256	2.3999998569488525
				datatype-func_run-2_suffix-bold_task-rest_acquisition-VARIANTNumVolumes294__1	datatype-func_run-2_suffix-bold_task-rest_acquisition-VARIANTNumVolumes294	1								1	84	84	60	0.03	0.000580013	1	31	False	LAS+	func	6.0	60	294.0	True		1.0	j-	0.8	0.0481411	False	2.4285714626312256	2.4285714626312256	2.400000095367432
				datatype-func_run-2_suffix-bold_task-rest_acquisition-VARIANTNumVolumes334Plumb__1	datatype-func_run-2_suffix-bold_task-rest_acquisition-VARIANTNumVolumes334Plumb	1								1	84	84	60	0.03	0.000589987	1	31	False	LAS+	func	6.0	60	334.0	False		1.0	j-	0.8	0.0489689	False	2.4285714626312256	2.4285714626312256	2.400000095367432
				datatype-func_run-2_suffix-bold_task-rest_acquisition-VARIANTPlumb__1	datatype-func_run-2_suffix-bold_task-rest_acquisition-VARIANTPlumb	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	585	84	84	60	0.03	0.000589987	585	31	False	LAS+	func	6.0	60	375.0	False		1.0	j-	0.8	0.0489689	False	2.4285714626312256	2.4285714626312256	2.3999998569488525
				datatype-func_run-3_suffix-bold_task-peer__1	datatype-func_run-3_suffix-bold_task-peer	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1025	84	84	60	0.03	0.000580013	1025	31	False	LAS+	func	6.0	60	135.0	True		1.0	j-	0.8	0.0481411	False	2.4285714626312256	2.4285712242126465	2.3999998569488525
				datatype-func_run-3_suffix-bold_task-peer_acquisition-VARIANTInferredSliceTiming__1	datatype-func_run-3_suffix-bold_task-peer_acquisition-VARIANTInferredSliceTiming	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56	90	90	66	0.03	0.000500005	56	52	False	LAS+	func	6.0	60	135.0	True		1.0	j-	0.8	0.0445004	False	2.400000095367432	2.400000095367432	2.3999998569488525
				datatype-func_run-3_suffix-bold_task-peer_acquisition-VARIANTPhaseEncodingDirectioniImageOrientationPSL__1	datatype-func_run-3_suffix-bold_task-peer_acquisition-VARIANTPhaseEncodingDirectioniImageOrientationPSL	1								1	84	84	60	0.03	0.000580013	1	31	False	PSL+	func	6.0	60	135.0	True		1.0	i	0.8	0.0481411	False	2.4285714626312256	2.4285714626312256	2.3999998569488525
				datatype-func_run-3_suffix-bold_task-peer_acquisition-VARIANTPlumb__1	datatype-func_run-3_suffix-bold_task-peer_acquisition-VARIANTPlumb	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33	84	84	60	0.03	0.000589987	33	31	False	LAS+	func	6.0	60	135.0	False		1.0	j-	0.8	0.0489689	False	2.4285714626312256	2.4285714626312256	2.3999998569488525
				datatype-func_suffix-bold_task-movieDM__1	datatype-func_suffix-bold_task-movieDM	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2388	84	84	60	0.03	0.000580013	2388	31	False	LAS+	func	6.0	60	750.0	True		1.0	j-	0.8	0.0481411	False	2.4285714626312256	2.4285714626312256	2.400000095367432
				datatype-func_suffix-bold_task-movieDM_acquisition-VARIANTInferredSliceTiming__1	datatype-func_suffix-bold_task-movieDM_acquisition-VARIANTInferredSliceTiming	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53	90	90	66	0.03	0.000500005	53	52	False	LAS+	func	6.0	60	752.0	True		1.0	j-	0.8	0.0445004	False	2.400000095367432	2.400000095367432	2.3999998569488525
				datatype-func_suffix-bold_task-movieDM_acquisition-VARIANTInferredSliceTimingNumVolumes742__1	datatype-func_suffix-bold_task-movieDM_acquisition-VARIANTInferredSliceTimingNumVolumes742	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	90	90	66	0.03	0.000500005	2	52	False	LAS+	func	6.0	60	742.0	True		1.0	j-	0.8	0.0445004	False	2.400000095367432	2.400000095367432	2.3999998569488525
				datatype-func_suffix-bold_task-movieDM_acquisition-VARIANTInferredSliceTimingNumVolumes748__1	datatype-func_suffix-bold_task-movieDM_acquisition-VARIANTInferredSliceTimingNumVolumes748	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	90	90	66	0.03	0.000500005	2	52	False	LAS+	func	6.0	60	748.0	True		1.0	j-	0.8	0.0445004	False	2.400000095367432	2.400000095367432	2.400000095367432
				datatype-func_suffix-bold_task-movieDM_acquisition-VARIANTInferredSliceTimingNumVolumes755__1	datatype-func_suffix-bold_task-movieDM_acquisition-VARIANTInferredSliceTimingNumVolumes755	1								1	90	90	66	0.03	0.000500005	1	52	False	LAS+	func	6.0	60	755.0	True		1.0	j-	0.8	0.0445004	False	2.400000095367432	2.400000095367432	2.400000095367432
				datatype-func_suffix-bold_task-movieDM_acquisition-VARIANTNumVolumes277__1	datatype-func_suffix-bold_task-movieDM_acquisition-VARIANTNumVolumes277	1								1	84	84	60	0.03	0.000589987	1	31	False	LAS+	func	6.0	60	277.0	True		1.0	j-	0.8	0.0489689	False	2.4285714626312256	2.4285714626312256	2.3999998569488525
